               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.020203,            0.032231,           0.0010614,             0.88274,             0.92279,             0.95502,             0.77544,            0.017296,            0.020751,           0.0018414,            0.004753,            0.004753,            0.004753
                 108,            0.019924,            0.032776,           0.0010655,             0.89872,             0.90529,             0.95209,             0.77206,            0.017256,            0.021182,           0.0022267,           0.0047035,           0.0047035,           0.0047035
                 109,            0.020085,            0.032666,           0.0010958,             0.88965,              0.9016,             0.95261,              0.7747,            0.017262,            0.020983,            0.001856,            0.004654,            0.004654,            0.004654
                 110,            0.019778,            0.032346,          0.00099304,              0.8833,             0.92361,             0.95415,             0.77498,            0.017283,            0.021148,           0.0017818,           0.0046045,           0.0046045,           0.0046045
                 111,            0.019833,            0.032486,          0.00091973,             0.89341,             0.91549,              0.9561,             0.77773,            0.017039,             0.02076,           0.0023574,            0.004555,            0.004555,            0.004555
                 112,            0.019893,             0.03195,           0.0010008,             0.89637,             0.90229,             0.95274,             0.77718,            0.017094,            0.020888,           0.0020662,           0.0045055,           0.0045055,           0.0045055
                 113,            0.019979,            0.031978,            0.001052,              0.8936,             0.91091,             0.95367,             0.77396,            0.017199,            0.020855,           0.0017762,            0.004456,            0.004456,            0.004456
                 114,            0.019925,            0.031712,           0.0010464,             0.90824,             0.90707,             0.95428,             0.77372,            0.017049,            0.021053,            0.001353,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019703,            0.032163,            0.000943,             0.91189,              0.9021,             0.95374,             0.77392,            0.016962,            0.021231,           0.0017305,            0.004357,            0.004357,            0.004357
                 116,            0.019674,             0.03146,          0.00095599,             0.89422,             0.91077,             0.95518,             0.77488,             0.01696,             0.02117,           0.0015328,           0.0043075,           0.0043075,           0.0043075
                 117,            0.019667,            0.032847,           0.0010505,             0.90225,             0.91269,             0.95487,             0.77325,            0.017031,            0.021034,           0.0019919,            0.004258,            0.004258,            0.004258
                 118,            0.019698,             0.03237,           0.0010929,             0.90996,             0.90843,             0.95585,              0.7756,            0.017054,             0.02107,           0.0014831,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019551,            0.032198,            0.000915,             0.90498,             0.91278,             0.95745,             0.77621,            0.017092,            0.021066,           0.0011556,            0.004159,            0.004159,            0.004159
                 120,              0.0197,             0.03176,          0.00085908,             0.89371,             0.91419,             0.95438,             0.77456,            0.017055,            0.021029,           0.0017491,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019184,            0.030648,          0.00082205,             0.89481,             0.91018,             0.95413,             0.77368,            0.016971,            0.021076,           0.0020326,             0.00406,             0.00406,             0.00406
                 122,            0.019432,            0.031296,           0.0007943,             0.89813,             0.90895,             0.95306,              0.7758,            0.017154,             0.02094,           0.0021905,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019361,            0.031706,           0.0009426,              0.9071,             0.89985,             0.95185,             0.77515,            0.017254,            0.020952,           0.0021543,            0.003961,            0.003961,            0.003961
                 124,            0.019167,            0.031037,          0.00096098,             0.91007,              0.9061,             0.95304,             0.77595,            0.017355,            0.020989,           0.0019904,           0.0039115,           0.0039115,           0.0039115
                 125,            0.019335,            0.031445,          0.00084055,             0.90823,              0.9011,             0.95265,             0.77385,            0.017454,            0.021181,           0.0016635,            0.003862,            0.003862,            0.003862
                 126,            0.019124,            0.031021,          0.00083119,             0.91175,             0.90489,             0.95235,             0.77432,             0.01742,             0.02099,           0.0012437,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019344,             0.03192,          0.00091471,             0.90026,             0.92031,             0.95399,             0.77828,            0.017421,            0.020947,           0.0011351,            0.003763,            0.003763,            0.003763
                 128,            0.019139,             0.03055,          0.00088432,             0.90281,             0.91769,             0.95222,             0.77696,            0.017341,            0.021181,          0.00099774,           0.0037135,           0.0037135,           0.0037135
                 129,             0.01855,            0.030632,          0.00088171,             0.90623,             0.91473,             0.95403,             0.77816,            0.017256,            0.021031,           0.0011142,            0.003664,            0.003664,            0.003664
                 130,            0.019039,            0.031502,          0.00092017,             0.89816,             0.92555,             0.95436,             0.77941,            0.017257,            0.021122,           0.0010744,           0.0036145,           0.0036145,           0.0036145
                 131,            0.018834,            0.029985,          0.00083499,             0.90618,             0.90784,             0.95628,             0.77636,            0.017351,            0.021217,           0.0013348,            0.003565,            0.003565,            0.003565
                 132,            0.019227,            0.031623,           0.0010114,             0.91293,             0.91235,             0.95563,             0.77767,            0.017093,            0.021068,            0.001119,           0.0035155,           0.0035155,           0.0035155
                 133,            0.018876,            0.031022,           0.0008326,             0.90233,             0.91662,             0.95537,             0.77903,            0.016974,            0.020913,           0.0014233,            0.003466,            0.003466,            0.003466
                 134,            0.019002,            0.030673,          0.00079058,             0.90039,             0.91756,             0.95293,             0.77692,            0.017059,            0.020894,           0.0016653,           0.0034165,           0.0034165,           0.0034165
                 135,            0.018555,            0.030309,          0.00087732,               0.905,             0.91277,              0.9531,             0.77569,            0.017078,            0.020822,           0.0018713,            0.003367,            0.003367,            0.003367
                 136,            0.018271,            0.029904,          0.00077465,             0.89134,             0.92362,             0.95263,             0.77684,            0.017111,            0.020995,           0.0016684,           0.0033175,           0.0033175,           0.0033175
                 137,             0.01857,            0.030922,          0.00075819,             0.90383,             0.91695,             0.95427,             0.77826,            0.017149,            0.020959,           0.0014177,            0.003268,            0.003268,            0.003268
                 138,            0.018546,            0.030845,          0.00070813,             0.90456,             0.91482,              0.9529,             0.77865,            0.017153,             0.02097,           0.0013333,           0.0032185,           0.0032185,           0.0032185
                 139,             0.01872,            0.030714,          0.00083967,             0.90076,             0.91931,             0.95567,              0.7779,            0.017105,            0.020959,           0.0013874,            0.003169,            0.003169,            0.003169
                 140,            0.018806,            0.030261,           0.0008734,             0.90893,             0.91533,             0.95802,             0.78084,            0.017009,            0.020708,           0.0011152,           0.0031195,           0.0031195,           0.0031195
                 141,             0.01877,            0.030275,          0.00076651,              0.9056,             0.91315,             0.95704,             0.78116,            0.017127,            0.020953,           0.0011083,             0.00307,             0.00307,             0.00307
                 142,            0.018667,            0.030486,          0.00077188,             0.89858,             0.92028,             0.95616,             0.78046,            0.017087,             0.02106,           0.0013059,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018571,            0.030711,          0.00072019,             0.90216,             0.92243,             0.95758,             0.78063,            0.017057,            0.020978,           0.0013649,            0.002971,            0.002971,            0.002971
                 144,            0.018307,            0.030732,          0.00076096,             0.90669,             0.91181,             0.95516,             0.77925,            0.017083,            0.021137,           0.0014229,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018457,            0.029643,          0.00080306,             0.89948,             0.92533,             0.95674,             0.77957,            0.017076,            0.021131,           0.0011779,            0.002872,            0.002872,            0.002872
